,EMD_CD,data
0,50110101,55618740
1,50110102,14789220
2,50110103,9814630
3,50110104,72846510
4,50110105,3410310
5,50110106,7069600
6,50110107,23350790
7,50110108,1167000
8,50110109,146197270
9,50110110,60416305
10,50110111,8470400
11,50110112,2126000
12,50110113,1077900
13,50110114,4454600
14,50110115,2642500
15,50110116,6275260
16,50110117,29977020
17,50110118,15766750
18,50110119,7192580
19,50110120,35941080
20,50110121,935800
21,50110122,120193350
22,50110123,10602400
23,50110124,5332000
24,50110125,2834130
25,50110126,678310
26,50110127,11303500
27,50110129,6210260
28,50110130,6760530
29,50110131,151100
30,50110135,22433400
31,50110136,2774720
32,50110137,159920120
33,50110140,51000
34,50110250,51872780
35,50110253,223631150
36,50110256,136716530
37,50110259,83924900
38,50110310,18282500
39,50110330,94124950
40,50130101,95280930
41,50130102,17042890
42,50130103,19717250
43,50130105,13604640
44,50130106,18679500
45,50130108,23063880
46,50130110,143000
47,50130111,9675100
48,50130112,11548610
49,50130114,472700
50,50130115,456500
51,50130116,16525600
52,50130119,4839000
53,50130121,6000
54,50130250,60838690
55,50130253,23508281
56,50130259,183564366
57,50130310,98675350
58,50130320,25078520
