업종별(1),업종별(2),지역별(1),2019,2020,2021,2022
합계,소계,제주,19938,21569,20184,19374
합계, 기술기반업종,제주,2408,2438,2686,2498
"농업, 임업 및 어업 및 광업",소계,제주,526,614,708,737
제조업,소계,제주,419,364,397,300
"전기, 가스, 증기 및 공기 조절 공급업",소계,제주,380,296,101,61
" 수도, 하수 및 폐기물 처리, 원료 재생업",소계,제주,13,19,11,17
서비스업, 도매 및 소매업,제주,4112,4655,5162,5211
서비스업, 운수 및 창고업,제주,883,709,788,829
서비스업, 숙박 및 음식점업,제주,5223,4672,4662,4383
서비스업, 정보통신업,제주,218,246,322,329
서비스업, 금융 및 보험업,제주,39,47,114,65
서비스업, 부동산업,제주,3595,5461,3305,2874
서비스업," 전문, 과학 및 기술 서비스업",제주,532,577,710,664
서비스업," 사업시설 관리, 사업 지원 및 임대 서비스업",제주,622,685,620,579
서비스업, 교육 서비스업,제주,689,710,744,685
서비스업, 보건업 및 사회복지 서비스업,제주,75,46,66,71
서비스업," 예술, 스포츠 및 여가관련 서비스업",제주,457,464,459,484
서비스업," 협회 및 단체, 수리 및 기타 개인 서비스업",제주,753,728,792,817
